MSSubClass,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,FireplaceQu,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold
60,65,8450,0,7,5,2003,2003,0,0,196,0,0,706,150,856,856,854,1710,3,8,0,2003,548,0,61,2,2008
20,80,9600,1,6,8,1976,1976,1,1,0,1,1,978,284,1262,1262,0,1262,3,6,1,1976,460,298,0,5,2007
60,68,11250,0,7,5,2001,2002,0,0,162,2,0,486,434,920,920,866,1786,3,6,1,2001,608,0,42,9,2008
70,60,9550,2,7,5,1915,1970,2,2,0,0,1,216,540,756,961,756,1717,3,7,2,1998,642,0,35,2,2006
60,84,14260,3,8,5,2000,2000,0,0,350,3,0,655,490,1145,1145,1053,2198,4,9,1,2000,836,192,84,12,2008
50,85,14115,4,5,5,1993,1995,0,0,0,0,0,732,64,796,796,566,1362,1,5,0,1993,480,40,30,10,2009
20,75,10084,5,8,5,2004,2005,0,0,186,3,0,1369,317,1686,1694,0,1694,3,7,2,2004,636,255,57,8,2007
60,0,10382,6,7,6,1973,1973,3,3,240,2,1,859,216,1107,1107,983,2090,3,7,1,1973,484,235,204,11,2009
50,51,6120,7,7,5,1931,1950,4,2,0,0,2,0,952,952,1022,752,1774,2,8,1,1931,468,90,0,4,2008
190,50,7420,8,5,6,1939,1950,1,1,0,0,0,851,140,991,1077,0,1077,2,5,1,1939,205,0,4,1,2008
20,70,11200,9,5,5,1965,1965,3,3,0,0,3,906,134,1040,1040,0,1040,3,5,0,1965,384,0,0,2,2008
60,85,11924,10,9,5,2005,2006,5,2,286,0,0,998,177,1175,1182,1142,2324,4,11,2,2005,736,147,21,7,2006
20,0,12968,9,5,6,1962,1962,3,4,0,0,1,737,175,912,912,0,912,2,4,0,1962,352,140,0,9,2008
20,91,10652,0,7,5,2006,2007,0,0,306,3,2,0,1494,1494,1494,0,1494,3,7,2,2006,840,160,33,8,2007
20,0,10920,11,6,5,1960,1960,1,1,212,0,4,733,520,1253,1253,0,1253,2,5,3,1960,352,0,213,5,2008
45,51,6120,8,7,8,1929,2001,2,5,0,0,2,0,832,832,854,0,854,2,5,0,1991,576,48,112,7,2007
20,0,11241,11,6,7,1970,1970,2,5,180,0,1,578,426,1004,1004,0,1004,2,5,1,1970,480,0,0,3,2010
90,72,10791,9,4,5,1967,1967,1,1,0,4,5,0,0,0,1296,0,1296,2,6,0,1967,516,0,0,10,2006
20,66,13695,12,5,5,2004,2004,0,0,0,0,0,646,468,1114,1114,0,1114,3,6,0,2004,576,0,102,6,2008
20,70,7560,11,5,6,1958,1965,4,4,0,0,6,504,525,1029,1339,0,1339,3,6,0,1958,294,0,0,5,2009
60,101,14215,10,8,5,2005,2006,0,0,380,3,2,0,1158,1158,1158,1218,2376,4,9,2,2005,853,240,154,11,2006
45,57,7449,13,7,7,1930,1950,2,5,0,0,2,0,637,637,1108,0,1108,3,6,2,1930,280,0,0,6,2007
20,75,9742,0,8,5,2002,2002,0,0,281,0,2,0,1777,1777,1795,0,1795,3,7,2,2002,534,171,159,9,2008
120,44,4224,14,5,7,1976,1976,6,6,0,0,0,840,200,1040,1060,0,1060,3,6,1,1976,572,100,110,6,2007
20,0,8246,9,5,8,1968,2001,7,4,0,2,3,188,204,1060,1060,0,1060,3,6,1,1968,270,406,90,5,2010
20,110,14230,10,8,5,2007,2007,0,0,640,0,2,0,1566,1566,1600,0,1600,3,7,2,2007,890,0,56,7,2009
20,60,7200,11,5,7,1951,2000,2,5,0,2,4,234,180,900,900,0,900,3,5,0,2005,576,222,32,5,2010
20,98,11478,10,8,5,2007,2008,0,0,200,0,0,1218,486,1704,1704,0,1704,3,7,2,2008,772,0,50,5,2010
20,47,16321,11,5,6,1957,1997,1,1,0,1,4,1277,207,1484,1600,0,1600,2,6,2,1957,319,288,258,12,2006
30,60,6324,8,4,6,1927,1950,1,1,0,0,2,0,520,520,520,0,520,1,4,0,1920,240,49,0,5,2008
70,50,8500,13,4,4,1920,1950,4,7,0,0,2,0,649,649,649,668,1317,3,6,0,1920,250,0,54,7,2008
20,0,8544,9,5,6,1966,2006,3,3,0,0,2,0,1228,1228,1228,0,1228,3,6,0,1966,271,0,65,6,2008
20,85,11049,0,8,5,2007,2007,0,0,0,3,2,0,1234,1234,1234,0,1234,3,7,0,2007,484,0,30,1,2008
20,70,10552,11,5,5,1959,1959,4,7,0,0,3,1018,380,1398,1700,0,1700,4,6,2,1959,447,0,38,4,2010
120,60,7313,10,9,5,2005,2005,1,1,246,0,0,1153,408,1561,1561,0,1561,2,6,2,2005,556,203,47,8,2007
60,108,13418,10,8,5,2004,2005,0,0,132,3,2,0,1117,1117,1132,1320,2452,4,9,2,2004,691,113,32,9,2006
20,112,10859,0,5,5,1994,1995,0,0,0,0,2,0,1097,1097,1097,0,1097,3,6,0,1995,672,392,64,6,2009
20,74,8532,11,5,6,1954,1990,2,5,650,0,3,1213,84,1297,1297,0,1297,3,5,1,1954,498,0,0,10,2009
20,68,7922,11,5,7,1953,2007,0,0,0,0,0,731,326,1057,1057,0,1057,3,5,0,1953,246,0,52,1,2010
90,65,6040,15,4,5,1955,1955,8,4,0,4,5,0,0,0,1152,0,1152,2,6,0,0,0,0,0,6,2008
20,84,8658,11,6,5,1965,1965,2,5,101,0,3,643,445,1088,1324,0,1324,3,6,1,1965,440,0,138,12,2006
20,115,16905,16,5,6,1959,1959,0,0,0,1,4,967,383,1350,1328,0,1328,2,5,2,1959,308,0,104,7,2007
85,0,9180,12,5,7,1983,1983,3,3,0,3,1,747,0,840,884,0,884,2,5,0,1983,504,240,0,12,2007
20,0,9200,0,5,6,1975,1980,0,0,0,3,6,280,167,938,938,0,938,3,5,0,1977,308,145,0,7,2008
20,70,7945,11,5,6,1959,1959,4,5,0,0,1,179,465,1150,1150,0,1150,3,6,0,1959,300,0,0,5,2006
120,61,7658,10,9,5,2005,2005,1,1,412,0,0,456,1296,1752,1752,0,1752,2,6,2,2005,576,196,82,2,2010
50,48,12822,4,7,5,2003,2003,0,0,0,0,0,1351,83,1434,1518,631,2149,1,6,4,2003,670,168,43,8,2009
20,84,11096,5,8,5,2006,2006,0,0,0,3,0,24,1632,1656,1656,0,1656,3,7,0,2006,826,0,146,7,2007
190,33,4456,7,4,5,1920,2008,1,1,0,0,2,0,736,736,736,716,1452,2,8,0,0,0,0,0,6,2009
20,66,7742,9,5,7,1966,1966,3,3,0,0,4,763,192,955,955,0,955,3,6,0,1966,386,0,0,1,2007
60,0,13869,17,6,6,1997,1997,0,0,0,3,0,182,612,794,794,676,1470,3,6,0,1997,388,0,75,7,2007
50,52,6240,8,6,6,1934,1950,2,5,0,0,2,0,816,816,816,0,1176,3,6,2,1985,528,112,0,9,2006
90,110,8472,13,5,5,1963,1963,2,5,0,1,6,104,0,816,816,0,816,2,5,0,1963,516,106,0,5,2010
20,68,50271,1,9,5,1981,1987,5,2,0,1,0,1810,32,1842,1842,0,1842,0,5,2,1981,894,857,72,11,2006
80,60,7134,11,5,5,1955,1955,1,1,0,0,1,384,0,384,1360,0,1360,3,6,1,1962,572,0,50,2,2007
20,100,10175,11,6,5,1964,1964,3,4,272,0,4,490,935,1425,1425,0,1425,3,7,2,1964,576,0,0,7,2008
160,24,2645,5,8,5,1999,2000,1,1,456,0,0,649,321,970,983,756,1739,3,7,0,1999,480,115,0,8,2009
60,89,11645,0,7,5,2004,2004,0,0,0,0,2,0,860,860,860,860,1720,3,7,0,2004,565,0,70,8,2006
60,66,13682,18,10,5,2006,2006,0,0,1031,1,2,0,1410,1410,1426,1519,2945,3,10,2,2006,641,192,0,10,2006
20,60,7200,0,5,7,1972,1972,3,3,0,3,1,632,148,780,780,0,780,2,4,0,1973,352,196,0,1,2008
20,63,13072,12,6,5,2004,2004,0,0,0,0,1,941,217,1158,1158,0,1158,3,5,0,2006,576,0,50,5,2006
75,60,7200,13,5,7,1920,1996,1,1,0,0,2,0,530,530,581,530,1111,3,6,0,1935,288,0,0,3,2007
120,44,6442,10,8,5,2006,2006,0,0,178,2,0,24,1346,1370,1370,0,1370,2,6,2,2006,484,120,49,10,2007
70,50,10300,7,7,6,1921,1950,9,8,0,0,2,0,576,576,902,808,1710,3,9,0,1990,480,12,11,4,2010
60,0,9375,0,7,5,1997,1998,0,0,573,0,0,739,318,1057,1057,977,2034,3,8,0,1998,645,576,36,2,2009
60,76,9591,10,8,5,2004,2005,0,0,344,3,2,0,1143,1143,1143,1330,2473,4,9,2,2004,852,192,151,10,2007
20,0,19900,11,7,5,1970,1989,7,4,287,1,0,912,1035,1947,2207,0,2207,3,7,2,1970,576,301,0,7,2010
20,72,10665,0,7,5,2003,2003,0,0,167,3,0,1013,440,1453,1479,0,1479,3,7,0,2003,558,144,29,6,2007
30,47,4608,7,4,6,1945,1950,1,1,0,0,2,0,747,747,747,0,747,2,4,0,1945,220,0,0,6,2010
50,81,15593,19,7,4,1953,1953,4,9,0,0,4,603,701,1304,1304,983,2287,3,7,1,1953,667,0,21,7,2006
20,95,13651,11,7,6,1973,1973,7,4,1115,1,1,1880,343,2223,2223,0,2223,3,8,2,1973,516,300,0,2,2007
20,69,7599,4,4,6,1982,2006,3,4,0,0,1,565,280,845,845,0,845,2,4,0,1987,360,0,0,6,2007
60,74,10141,17,7,5,1998,1998,0,0,40,0,2,0,832,832,885,833,1718,3,7,1,1998,427,0,94,12,2009
20,85,10200,11,5,7,1954,2003,2,5,104,0,1,320,404,1086,1086,0,1086,3,6,0,1989,490,0,0,5,2010
50,60,5790,7,3,6,1915,1950,0,0,0,0,2,0,840,840,840,765,1605,3,8,0,1915,379,0,0,5,2010
180,21,1596,14,4,5,1973,1973,6,6,0,1,0,462,0,462,526,462,988,2,5,0,1973,297,120,101,11,2009
20,0,8475,11,4,7,1956,1956,0,0,0,0,1,228,724,952,952,0,952,2,4,0,1956,283,0,0,4,2008
50,50,8635,8,5,5,1948,2001,2,5,0,0,4,336,295,672,1072,213,1285,2,6,0,1948,240,0,0,1,2008
90,72,10778,9,4,5,1968,1968,3,3,0,0,2,0,1768,1768,1768,0,1768,4,8,0,0,0,0,0,4,2010
50,60,10440,7,5,6,1910,1981,2,5,0,0,2,0,440,440,682,548,1230,2,5,0,1966,440,74,0,5,2009
60,100,13000,11,6,6,1968,1968,0,0,576,0,3,448,448,896,1182,960,2142,4,8,2,1968,509,0,72,6,2009
120,32,4500,4,6,5,1998,1998,0,0,443,0,0,1201,36,1237,1337,0,1337,2,5,0,1998,405,0,199,3,2006
20,78,10206,5,8,5,2007,2007,0,0,468,0,0,33,1530,1563,1563,0,1563,3,6,2,2007,758,144,99,10,2008
20,80,8892,11,5,5,1960,1960,1,1,66,0,2,0,1065,1065,1065,0,1065,3,6,0,1974,461,74,0,7,2007
80,0,8530,17,7,5,1995,1996,3,3,22,0,2,0,384,384,804,670,1474,3,7,1,1995,400,120,72,5,2009
60,121,16059,3,8,5,1991,1992,3,3,284,0,2,0,1288,1288,1301,1116,2417,4,9,1,1991,462,127,82,4,2006
60,122,11911,17,6,5,2005,2005,0,0,0,3,2,0,684,684,684,876,1560,3,6,2,2005,400,100,38,3,2009
160,40,3951,5,6,5,2009,2009,0,0,76,3,2,0,612,612,612,612,1224,2,4,0,2009,528,0,234,6,2009
50,105,8470,13,3,2,1915,1982,7,4,0,0,2,0,1013,1013,1013,0,1526,2,6,0,0,0,0,0,10,2009
20,60,8070,0,4,5,1994,1995,0,0,0,0,0,588,402,990,990,0,990,3,5,0,0,0,0,0,8,2007
